,mode,epoch,index,loss,correct_label,predicted_label,true_positive,total_epoch_loss,elapsed_time
83,train,3,17,0.08540232479572296,general,general,1,3.017998158931732,135.4596071243286
84,train,3,18,0.07681387662887573,general,general,1,3.094812035560608,139.1890630722046
85,train,3,19,0.9135898351669312,business,general,0,4.008401870727539,141.33787393569946
86,val,3,0,0.06980384141206741,general,general,1,0.06980384141206741,141.33787393569946
87,val,3,1,0.07014629244804382,general,general,1,0.13995013386011124,141.33787393569946
88,train,4,0,0.07909220457077026,general,general,1,0.07909220457077026,143.41819596290588
89,train,4,1,0.05949309468269348,general,general,1,0.13858529925346375,145.2244098186493
90,train,4,2,0.9376824498176575,tech,general,0,1.0762677490711212,145.6228950023651
91,train,4,3,0.08582085371017456,general,general,1,1.1620886027812958,148.5990071296692
92,train,4,4,0.07698620855808258,general,general,1,1.2390748113393784,149.16792392730713
93,train,4,5,0.0784410759806633,general,general,1,1.3175158873200417,149.9288330078125
94,train,4,6,0.06689001619815826,general,general,1,1.3844059035182,151.41262197494507
95,train,4,7,0.06723494827747345,general,general,1,1.4516408517956734,151.9411060810089
96,train,4,8,0.08131007850170135,general,general,1,1.5329509302973747,152.20126605033875
97,train,4,9,0.8007131814956665,business,general,0,2.3336641117930412,154.8908360004425
98,train,4,10,0.07147381454706192,general,general,1,2.405137926340103,155.17049503326416
99,train,4,11,0.08195232599973679,general,general,1,2.48709025233984,155.89544701576233
100,train,4,12,0.09156957268714905,general,general,1,2.578659825026989,156.42836785316467
101,train,4,13,0.08601512014865875,general,general,1,2.6646749451756477,157.66215705871582
102,train,4,14,0.0945112407207489,general,general,1,2.7591861858963966,162.17895889282227
103,train,4,15,0.08234445750713348,general,general,1,2.84153064340353,166.43852305412292
104,train,4,16,0.08231262862682343,general,general,1,2.9238432720303535,167.79431700706482
105,train,4,17,0.09685768932104111,general,general,1,3.0207009613513947,168.66320395469666
106,train,4,18,0.083742156624794,general,general,1,3.1044431179761887,172.44642305374146
107,train,4,19,0.6682936549186707,business,general,0,3.7727367728948593,174.58149099349976
108,val,4,0,0.07100088894367218,general,general,1,0.07100088894367218,174.58149099349976
109,val,4,1,0.07142121344804764,general,general,1,0.14242210239171982,174.58149099349976
